"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 ID ,181977,193392,201192,203722,220220,224114,234465,254143,274456,273043,283123,297493,319731,323593,331607,343621,347893,355486,357228,370680,334792,347367,333178,327933,330482,340363,327985,333521,354967,386190,340787,350770,371064,366600,393148,386129,400574,395691,415600,434818,466227,449829,432653,410104,442107,452949,447801,475593,468048,428088,455512,421540,427551,455268,444839,467796,463480,468777,467171,485120,462867,490373,512667,505344
 IL ,2470864,2504146,2595952,2660868,2786619,2957154,3115310,3235878,3371320,3545323,3606919,3626688,3833254,3922291,3848522,3756882,3924044,4024163,4103957,3956004,3677167,3463727,3295717,3363793,3401645,3346836,3325624,3393980,3633357,3536169,3611525,3677262,3649626,3752683,3772943,3885782,3969450,3937179,3852291,4023131,4028341,3904632,3919273,3944694,3992115,4138872,3988635,4075892,4070403,3841146,3957104,3934122,3803647,3962061,4038082,3870603,3874872,3832517,3961761,3887683,3549235,3636248,3676428,3486989
 IN ,1503173,1522771,1549590,1604646,1682470,1762170,1882381,1909401,2000493,2107983,2171749,2184587,2383665,2421144,2371441,2314295,2349341,2437182,2477026,2527022,2343506,2306266,2114799,2128513,2210675,2245045,2204836,2330405,2439515,2461663,2486534,2468749,2456593,2566462,2553094,2618357,2700030,2679932,2670088,2780767,2863912,2767007,2853599,2934671,2927611,2921512,2856693,2955502,2912828,2700448,2831825,2801444,2714667,2839736,2881921,2786382,2733573,2630940,2769007,2732665,2502122,2649708,2622566,2555897
 KS ,620381,606876,626981,628491,643831,709644,749649,707552,778395,821929,856728,889706,942729,947894,938726,903571,952921,965754,1017039,1112522,1001634,927844,921758,891881,993087,990991,952845,997525,1053533,1023345,1074330,1070386,1057319,1085811,1111782,1078330,1109621,1101084,1088778,1108236,1116017,1063512,1096710,1137937,1119126,1064258,1089261,1150829,1108904,1072050,1090138,1074483,1036924,1045632,1076152,1041248,1018002,985787,1044236,1031443,970610,968269,1002713,973356
 KY ,779353,775993,793930,848634,851579,861120,870415,916069,975596,1032370,1065453,1074826,1157521,1191967,1178145,1221092,1344030,1370843,1351921,1384575,1321263,1253701,1212027,1223762,1322041,1285182,1260043,1303513,1385250,1464594,1469560,1491458,1556815,1599201,1645098,1719009,1737381,1746301,1705476,1798735,1787820,1807989,1959802,1895859,1971977,1997945,1992266,2031787,1993954,1906534,1984909,1915801,1881539,1820409,1761788,1710943,1684010,1631641,1716399,1683555,1542617,1646871,1671827,1611130
 LA ,1486803,1548642,1560868,1728650,1846112,1810100,1949810,2207245,2390970,2665151,2799666,2856667,3040208,3274473,3359124,3063639,3492740,3900298,4047994,3996684,3859310,3911456,3577091,3369520,3513860,3286756,3447675,3520246,3564281,3712321,3699880,3703937,3813285,3875810,4014247,4058533,4227956,4319442,4040905,4021156,4327069,3818697,3952583,3804200,4005138,3849720,4021734,4275672,4215291,4021054,4111598,4124451,3995750,3904336,3922318,3896246,4011551,4180645,4219960,4257243,4178183,4257173,4272592,4166787
 MA ,1033978,1058961,1089545,1061964,1097307,1220575,1223415,1298002,1345380,1370926,1432704,1459375,1511923,1546784,1437544,1383944,1464965,1460758,1439688,1276603,1215036,1185369,1197842,1191163,1254053,1279641,1346945,1372951,1398947,1424934,1405515,1365471,1433608,1435011,1440816,1425706,1443362,1443663,1418374,1436226,1523680,1507350,1518565,1486093,1485410,1491401,1417140,1447013,1421299,1360232,1417330,1389041,1349790,1414648,1420461,1436590,1388509,1386997,1415642,1414088,1218298,1281157,1323388,1282732
 MD ,683608,685585,732721,759786,806747,840691,880371,892165,945236,996742,1039496,1073435,1092444,1183548,1089368,1036139,1115751,1104355,1122939,1187270,1124055,1109788,1064981,1079271,1153479,1125401,1144837,1215720,1258601,1283006,1251922,1256583,1246381,1298604,1304324,1324983,1348704,1360692,1367319,1407012,1443517,1438122,1514196,1560860,1544267,1576776,1460946,1486507,1443383,1431461,1462765,1395912,1358065,1379305,1390976,1388315,1346428,1297833,1342823,1311993,1164157,1220595,1207626,1182581
 ME ,221342,234232,227233,230263,232154,221878,233856,245188,259100,275865,289310,340995,367249,365405,340255,310880,365850,383377,370296,348846,367076,366431,410302,374088,401679,407955,428362,418390,470989,461237,408073,414907,429331,433680,443192,409737,435907,418836,395645,408243,443007,412740,418306,414953,428475,429464,407733,429579,429493,389563,395546,393616,375922,390870,389665,399556,368409,355026,356505,350692,323501,332964,327804,328596
 MI ,1807087,1832569,1936398,2024571,2088875,2220213,2371476,2424947,2561233,2660550,2631714,2720909,2892779,2982355,2832773,2786536,2907725,2813992,2869501,2852154,2758218,2611653,2454460,2442953,2522093,2568068,2582748,2580011,2759585,2782516,2853863,2789697,2837833,2836830,2860192,2989872,3094114,3094258,3043942,3209383,3211610,3092545,3148731,3187033,3152951,3203878,3032895,3013504,2905605,2679168,2774343,2810874,2703263,2843130,2880439,2792943,2771665,2760178,2873868,2840026,2561344,2659383,2712402,2543241
